Country,Ratification,treaty,Entry,Signature,Note,Territorial Application,Declarations,Reservations,Communication,Authorities,Denunciation,Effect denunciation,Objection
Luxembourg,23/1/1968 a,European Agreement on the Exchanges of Blood-Grouping Reagents,24/2/1968,14/5/1962,,,,,,,,,
Malta,28/2/1967,European Agreement on the Exchanges of Blood-Grouping Reagents,29/3/1967,16/6/1966,,,X,,,,,,
Moldova,,European Agreement on the Exchanges of Blood-Grouping Reagents,,,,,,,,,,,
Monaco,,European Agreement on the Exchanges of Blood-Grouping Reagents,,,,,,,,,,,
Montenegro,,European Agreement on the Exchanges of Blood-Grouping Reagents,,,,,,,,,,,
Netherlands,20/5/1965,European Agreement on the Exchanges of Blood-Grouping Reagents,21/6/1965,15/7/1964,,X,X,,,,,,
Norway,14/5/1962 s,European Agreement on the Exchanges of Blood-Grouping Reagents,14/10/1962,14/5/1962 s,,,,,,,,,
Poland,,European Agreement on the Exchanges of Blood-Grouping Reagents,,,,,,,,,,,
Portugal,,European Agreement on the Exchanges of Blood-Grouping Reagents,,,,,,,,,,,
Romania,,European Agreement on the Exchanges of Blood-Grouping Reagents,,,,,,,,,,,
Russia,,European Agreement on the Exchanges of Blood-Grouping Reagents,,,,,,,,,,,
San Marino,,European Agreement on the Exchanges of Blood-Grouping Reagents,,,,,,,,,,,
Serbia,,European Agreement on the Exchanges of Blood-Grouping Reagents,,,,,,,,,,,
Slovakia,28/11/2003,European Agreement on the Exchanges of Blood-Grouping Reagents,29/12/2003,4/9/2002,,,,,,,,,
Slovenia,4/10/2000,European Agreement on the Exchanges of Blood-Grouping Reagents,5/11/2000,7/5/1999,,,,,,,,,
Spain,7/3/1975 a,European Agreement on the Exchanges of Blood-Grouping Reagents,8/4/1975,,,,,,,,,,
Sweden,14/5/1962 s,European Agreement on the Exchanges of Blood-Grouping Reagents,14/10/1962,14/5/1962 s,,,,,,,,,
Switzerland,29/11/1965 a,European Agreement on the Exchanges of Blood-Grouping Reagents,30/12/1965,15/4/1964,,,,,,,,,
Macedonia,,European Agreement on the Exchanges of Blood-Grouping Reagents,,,,,,,,,,,
Turkey,27/11/1964,European Agreement on the Exchanges of Blood-Grouping Reagents,28/12/1964,14/5/1962,,,,,,,,,
Ukraine,,European Agreement on the Exchanges of Blood-Grouping Reagents,,,,,,,,,,,
United Kingdom,8/12/1964,European Agreement on the Exchanges of Blood-Grouping Reagents,9/1/1965,21/11/1963,,X,,,,,,,
European Union,30/3/1987,European Agreement on the Exchanges of Blood-Grouping Reagents,1/4/1987,30/3/1987,,,,,,,,,
Albania,,Agreement between the Member States of the Council of Europe on the issue to Military and Civilian War-Disabled of an International Book of Vouchers for the repair of Prosthetic and Orthopaedic Appliances,,,,,,,,,,,
Andorra,,Agreement between the Member States of the Council of Europe on the issue to Military and Civilian War-Disabled of an International Book of Vouchers for the repair of Prosthetic and Orthopaedic Appliances,,,,,,,,,,,
Armenia,,Agreement between the Member States of the Council of Europe on the issue to Military and Civilian War-Disabled of an International Book of Vouchers for the repair of Prosthetic and Orthopaedic Appliances,,,,,,,,,,,
Austria,,Agreement between the Member States of the Council of Europe on the issue to Military and Civilian War-Disabled of an International Book of Vouchers for the repair of Prosthetic and Orthopaedic Appliances,,17/12/1962,,,,,,,,,
Azerbaijan,,Agreement between the Member States of the Council of Europe on the issue to Military and Civilian War-Disabled of an International Book of Vouchers for the repair of Prosthetic and Orthopaedic Appliances,,,,,,,,,,,
Belgium,26/11/1963,Agreement between the Member States of the Council of Europe on the issue to Military and Civilian War-Disabled of an International Book of Vouchers for the repair of Prosthetic and Orthopaedic Appliances,27/12/1963,11/2/1963,,,,,,,,,
Bosnia and Herzegovina,,Agreement between the Member States of the Council of Europe on the issue to Military and Civilian War-Disabled of an International Book of Vouchers for the repair of Prosthetic and Orthopaedic Appliances,,,,,,,,,,,
Bulgaria,,Agreement between the Member States of the Council of Europe on the issue to Military and Civilian War-Disabled of an International Book of Vouchers for the repair of Prosthetic and Orthopaedic Appliances,,,,,,,,,,,
Croatia,,Agreement between the Member States of the Council of Europe on the issue to Military and Civilian War-Disabled of an International Book of Vouchers for the repair of Prosthetic and Orthopaedic Appliances,,,,,,,,,,,
Cyprus,,Agreement between the Member States of the Council of Europe on the issue to Military and Civilian War-Disabled of an International Book of Vouchers for the repair of Prosthetic and Orthopaedic Appliances,,,,,,,,,,,
Czech Republic,,Agreement between the Member States of the Council of Europe on the issue to Military and Civilian War-Disabled of an International Book of Vouchers for the repair of Prosthetic and Orthopaedic Appliances,,,,,,,,,,,
Denmark,,Agreement between the Member States of the Council of Europe on the issue to Military and Civilian War-Disabled of an International Book of Vouchers for the repair of Prosthetic and Orthopaedic Appliances,,17/12/1962,,,,,,,,,
Estonia,,Agreement between the Member States of the Council of Europe on the issue to Military and Civilian War-Disabled of an International Book of Vouchers for the repair of Prosthetic and Orthopaedic Appliances,,,,,,,,,,,
Finland,,Agreement between the Member States of the Council of Europe on the issue to Military and Civilian War-Disabled of an International Book of Vouchers for the repair of Prosthetic and Orthopaedic Appliances,,,,,,,,,,,
France,8/11/1963,Agreement between the Member States of the Council of Europe on the issue to Military and Civilian War-Disabled of an International Book of Vouchers for the repair of Prosthetic and Orthopaedic Appliances,27/12/1963,17/12/1962,,,,,,,,,
Georgia,,Agreement between the Member States of the Council of Europe on the issue to Military and Civilian War-Disabled of an International Book of Vouchers for the repair of Prosthetic and Orthopaedic Appliances,,,,,,,,,,,
Germany,28/6/1965,Agreement between the Member States of the Council of Europe on the issue to Military and Civilian War-Disabled of an International Book of Vouchers for the repair of Prosthetic and Orthopaedic Appliances,29/7/1965,17/12/1962,,X,,,,,,,
Greece,,Agreement between the Member States of the Council of Europe on the issue to Military and Civilian War-Disabled of an International Book of Vouchers for the repair of Prosthetic and Orthopaedic Appliances,,,,,,,,,,,
Hungary,,Agreement between the Member States of the Council of Europe on the issue to Military and Civilian War-Disabled of an International Book of Vouchers for the repair of Prosthetic and Orthopaedic Appliances,,,,,,,,,,,
Iceland,,Agreement between the Member States of the Council of Europe on the issue to Military and Civilian War-Disabled of an International Book of Vouchers for the repair of Prosthetic and Orthopaedic Appliances,,,,,,,,,,,
Ireland,21/9/1967 s,Agreement between the Member States of the Council of Europe on the issue to Military and Civilian War-Disabled of an International Book of Vouchers for the repair of Prosthetic and Orthopaedic Appliances,22/10/1967,21/9/1967 s,,,,,,,,,
Italy,29/12/1966,Agreement between the Member States of the Council of Europe on the issue to Military and Civilian War-Disabled of an International Book of Vouchers for the repair of Prosthetic and Orthopaedic Appliances,30/1/1967,17/12/1962,,,,,,,,,
Latvia,,Agreement between the Member States of the Council of Europe on the issue to Military and Civilian War-Disabled of an International Book of Vouchers for the repair of Prosthetic and Orthopaedic Appliances,,,,,,,,,,,
Liechtenstein,,Agreement between the Member States of the Council of Europe on the issue to Military and Civilian War-Disabled of an International Book of Vouchers for the repair of Prosthetic and Orthopaedic Appliances,,,,,,,,,,,
Lithuania,,Agreement between the Member States of the Council of Europe on the issue to Military and Civilian War-Disabled of an International Book of Vouchers for the repair of Prosthetic and Orthopaedic Appliances,,,,,,,,,,,
Luxembourg,7/4/1965,Agreement between the Member States of the Council of Europe on the issue to Military and Civilian War-Disabled of an International Book of Vouchers for the repair of Prosthetic and Orthopaedic Appliances,8/5/1965,17/12/1962,,,,,,,,,
Malta,,Agreement between the Member States of the Council of Europe on the issue to Military and Civilian War-Disabled of an International Book of Vouchers for the repair of Prosthetic and Orthopaedic Appliances,,,,,,,,,,,
Moldova,,Agreement between the Member States of the Council of Europe on the issue to Military and Civilian War-Disabled of an International Book of Vouchers for the repair of Prosthetic and Orthopaedic Appliances,,,,,,,,,,,
Monaco,,Agreement between the Member States of the Council of Europe on the issue to Military and Civilian War-Disabled of an International Book of Vouchers for the repair of Prosthetic and Orthopaedic Appliances,,,,,,,,,,,
Montenegro,,Agreement between the Member States of the Council of Europe on the issue to Military and Civilian War-Disabled of an International Book of Vouchers for the repair of Prosthetic and Orthopaedic Appliances,,,,,,,,,,,
Netherlands,22/5/1964,Agreement between the Member States of the Council of Europe on the issue to Military and Civilian War-Disabled of an International Book of Vouchers for the repair of Prosthetic and Orthopaedic Appliances,23/6/1964,15/11/1963,,X,,,,,,,
Norway,,Agreement between the Member States of the Council of Europe on the issue to Military and Civilian War-Disabled of an International Book of Vouchers for the repair of Prosthetic and Orthopaedic Appliances,,,,,,,,,,,
Poland,,Agreement between the Member States of the Council of Europe on the issue to Military and Civilian War-Disabled of an International Book of Vouchers for the repair of Prosthetic and Orthopaedic Appliances,,,,,,,,,,,
Portugal,,Agreement between the Member States of the Council of Europe on the issue to Military and Civilian War-Disabled of an International Book of Vouchers for the repair of Prosthetic and Orthopaedic Appliances,,,,,,,,,,,
Romania,,Agreement between the Member States of the Council of Europe on the issue to Military and Civilian War-Disabled of an International Book of Vouchers for the repair of Prosthetic and Orthopaedic Appliances,,,,,,,,,,,
Russia,,Agreement between the Member States of the Council of Europe on the issue to Military and Civilian War-Disabled of an International Book of Vouchers for the repair of Prosthetic and Orthopaedic Appliances,,,,,,,,,,,
San Marino,,Agreement between the Member States of the Council of Europe on the issue to Military and Civilian War-Disabled of an International Book of Vouchers for the repair of Prosthetic and Orthopaedic Appliances,,,,,,,,,,,
Serbia,,Agreement between the Member States of the Council of Europe on the issue to Military and Civilian War-Disabled of an International Book of Vouchers for the repair of Prosthetic and Orthopaedic Appliances,,,,,,,,,,,
Slovakia,,Agreement between the Member States of the Council of Europe on the issue to Military and Civilian War-Disabled of an International Book of Vouchers for the repair of Prosthetic and Orthopaedic Appliances,,,,,,,,,,,
Slovenia,,Agreement between the Member States of the Council of Europe on the issue to Military and Civilian War-Disabled of an International Book of Vouchers for the repair of Prosthetic and Orthopaedic Appliances,,,,,,,,,,,
Spain,,Agreement between the Member States of the Council of Europe on the issue to Military and Civilian War-Disabled of an International Book of Vouchers for the repair of Prosthetic and Orthopaedic Appliances,,,,,,,,,,,
Sweden,,Agreement between the Member States of the Council of Europe on the issue to Military and Civilian War-Disabled of an International Book of Vouchers for the repair of Prosthetic and Orthopaedic Appliances,,,,,,,,,,,
Switzerland,,Agreement between the Member States of the Council of Europe on the issue to Military and Civilian War-Disabled of an International Book of Vouchers for the repair of Prosthetic and Orthopaedic Appliances,,,,,,,,,,,
Macedonia,,Agreement between the Member States of the Council of Europe on the issue to Military and Civilian War-Disabled of an International Book of Vouchers for the repair of Prosthetic and Orthopaedic Appliances,,,,,,,,,,,
Turkey,,Agreement between the Member States of the Council of Europe on the issue to Military and Civilian War-Disabled of an International Book of Vouchers for the repair of Prosthetic and Orthopaedic Appliances,,,,,,,,,,,
Ukraine,,Agreement between the Member States of the Council of Europe on the issue to Military and Civilian War-Disabled of an International Book of Vouchers for the repair of Prosthetic and Orthopaedic Appliances,,,,,,,,,,,
United Kingdom,17/10/1963,Agreement between the Member States of the Council of Europe on the issue to Military and Civilian War-Disabled of an International Book of Vouchers for the repair of Prosthetic and Orthopaedic Appliances,27/12/1963,17/12/1962,,,,,,,,,
Albania,,Convention on the Liability of Hotel-keepers concerning the Property of their Guests,,,,,,,,,,,
Andorra,,Convention on the Liability of Hotel-keepers concerning the Property of their Guests,,,,,,,,,,,
Armenia,,Convention on the Liability of Hotel-keepers concerning the Property of their Guests,,,,,,,,,,,
Austria,,Convention on the Liability of Hotel-keepers concerning the Property of their Guests,,17/12/1962,,,,,,,,,
Azerbaijan,,Convention on the Liability of Hotel-keepers concerning the Property of their Guests,,,,,,,,,,,
Belgium,14/9/1972,Convention on the Liability of Hotel-keepers concerning the Property of their Guests,15/12/1972,11/2/1963,,,,,,,,,
Bosnia and Herzegovina,29/12/1994 su,Convention on the Liability of Hotel-keepers concerning the Property of their Guests,30/3/1995,,,,,,,,,,
Bulgaria,,Convention on the Liability of Hotel-keepers concerning the Property of their Guests,,,,,,,,,,,
Croatia,14/9/1994 su,Convention on the Liability of Hotel-keepers concerning the Property of their Guests,15/12/1994,,,,,,,,,,
Cyprus,5/1/1984,Convention on the Liability of Hotel-keepers concerning the Property of their Guests,6/4/1984,10/12/1982,,,,,,,,,
Czech Republic,,Convention on the Liability of Hotel-keepers concerning the Property of their Guests,,,,,,,,,,,
Denmark,,Convention on the Liability of Hotel-keepers concerning the Property of their Guests,,,,,,,,,,,
Estonia,,Convention on the Liability of Hotel-keepers concerning the Property of their Guests,,,,,,,,,,,
Finland,,Convention on the Liability of Hotel-keepers concerning the Property of their Guests,,,,,,,,,,,
France,18/9/1967,Convention on the Liability of Hotel-keepers concerning the Property of their Guests,19/12/1967,17/12/1962,,,,,X,,,,
Georgia,,Convention on the Liability of Hotel-keepers concerning the Property of their Guests,,30/4/2002,,,,,,,,,
Germany,14/11/1966,Convention on the Liability of Hotel-keepers concerning the Property of their Guests,15/2/1967,17/12/1962,,X,,,,,,,
Greece,,Convention on the Liability of Hotel-keepers concerning the Property of their Guests,,17/12/1962,,,X,,,,,,
Hungary,,Convention on the Liability of Hotel-keepers concerning the Property of their Guests,,,,,,,,,,,
Iceland,,Convention on the Liability of Hotel-keepers concerning the Property of their Guests,,,,,,,,,,,
Ireland,7/5/1963,Convention on the Liability of Hotel-keepers concerning the Property of their Guests,15/2/1967,17/12/1962,,,,,,,,,
Italy,11/5/1979,Convention on the Liability of Hotel-keepers concerning the Property of their Guests,12/8/1979,17/12/1962,,,,,,,,,
Latvia,,Convention on the Liability of Hotel-keepers concerning the Property of their Guests,,,,,,,,,,,
Liechtenstein,,Convention on the Liability of Hotel-keepers concerning the Property of their Guests,,,,,,,,,,,
Lithuania,29/1/2004,Convention on the Liability of Hotel-keepers concerning the Property of their Guests,30/4/2004,18/9/2002,,,,,,,,,
Luxembourg,25/1/1980,Convention on the Liability of Hotel-keepers concerning the Property of their Guests,26/4/1980,17/12/1962,,,,,,,,,
Malta,12/12/1966,Convention on the Liability of Hotel-keepers concerning the Property of their Guests,13/3/1967,2/5/1966,,,,,X,,,,
Moldova,,Convention on the Liability of Hotel-keepers concerning the Property of their Guests,,,,,,,,,,,
Monaco,,Convention on the Liability of Hotel-keepers concerning the Property of their Guests,,,,,,,,,,,
Montenegro,28/2/2001 a,Convention on the Liability of Hotel-keepers concerning the Property of their Guests,6/6/2006,,58,,,,,,,,
Netherlands,,Convention on the Liability of Hotel-keepers concerning the Property of their Guests,,17/12/1962,,X,,,,,,,
Norway,,Convention on the Liability of Hotel-keepers concerning the Property of their Guests,,,,,,,,,,,
Poland,18/3/1997,Convention on the Liability of Hotel-keepers concerning the Property of their Guests,19/6/1997,11/3/1996,,,,,,,,,
Portugal,,Convention on the Liability of Hotel-keepers concerning the Property of their Guests,,,,,,,,,,,
Romania,,Convention on the Liability of Hotel-keepers concerning the Property of their Guests,,,,,,,,,,,
Russia,,Convention on the Liability of Hotel-keepers concerning the Property of their Guests,,,,,,,,,,,
San Marino,,Convention on the Liability of Hotel-keepers concerning the Property of their Guests,,,,,,,,,,,
Serbia,28/2/2001 a,Convention on the Liability of Hotel-keepers concerning the Property of their Guests,29/5/2001,,58,,,,,,,,
Slovakia,,Convention on the Liability of Hotel-keepers concerning the Property of their Guests,,,,,,,,,,,
Slovenia,20/10/1992 su,Convention on the Liability of Hotel-keepers concerning the Property of their Guests,21/1/1993,,,,,,,,,,
Spain,,Convention on the Liability of Hotel-keepers concerning the Property of their Guests,,,,,,,,,,,
Sweden,,Convention on the Liability of Hotel-keepers concerning the Property of their Guests,,,,,,,,,,,
Switzerland,,Convention on the Liability of Hotel-keepers concerning the Property of their Guests,,,,,,,,,,,
Macedonia,30/3/1994 su,Convention on the Liability of Hotel-keepers concerning the Property of their Guests,1/7/1994,,,,,,,,,,
Turkey,,Convention on the Liability of Hotel-keepers concerning the Property of their Guests,,17/12/1962,,,,,,,,,
Ukraine,,Convention on the Liability of Hotel-keepers concerning the Property of their Guests,,,,,,,,,,,
United Kingdom,12/7/1963,Convention on the Liability of Hotel-keepers concerning the Property of their Guests,15/2/1967,17/12/1962,,,,,,,,,
Albania,,Agreement relating to Application of the European Convention on International Commercial Arbitration,,,,,,,,,,,
Andorra,,Agreement relating to Application of the European Convention on International Commercial Arbitration,,,,,,,,,,,
Armenia,,Agreement relating to Application of the European Convention on International Commercial Arbitration,,,,,,,,,,,
Austria,28/2/1964,Agreement relating to Application of the European Convention on International Commercial Arbitration,25/1/1965,17/12/1962,,,,,,,,,
Azerbaijan,,Agreement relating to Application of the European Convention on International Commercial Arbitration,,,,,,,,,,,
Belgium,9/10/1975,Agreement relating to Application of the European Convention on International Commercial Arbitration,7/1/1976,11/2/1963,,,,,,,,,
Bosnia and Herzegovina,,Agreement relating to Application of the European Convention on International Commercial Arbitration,,,,,,,,,,,
Bulgaria,,Agreement relating to Application of the European Convention on International Commercial Arbitration,,,,,,,,,,,
Croatia,,Agreement relating to Application of the European Convention on International Commercial Arbitration,,,,,,,,,,,
Cyprus,,Agreement relating to Application of the European Convention on International Commercial Arbitration,,,,,,,,,,,
Czech Republic,,Agreement relating to Application of the European Convention on International Commercial Arbitration,,,,,,,,,,,
Denmark,16/1/1973,Agreement relating to Application of the European Convention on International Commercial Arbitration,22/3/1973,16/1/1973,,,,,,,,,
Estonia,,Agreement relating to Application of the European Convention on International Commercial Arbitration,,,,,,,,,,,
Finland,,Agreement relating to Application of the European Convention on International Commercial Arbitration,,,,,,,,,,,
France,30/11/1966,Agreement relating to Application of the European Convention on International Commercial Arbitration,16/3/1967,17/12/1962,,,,,,,,,
Georgia,,Agreement relating to Application of the European Convention on International Commercial Arbitration,,,,,,,,,,,
Germany,19/10/1964,Agreement relating to Application of the European Convention on International Commercial Arbitration,25/1/1965,17/12/1962,,X,,,,,,,
Greece,,Agreement relating to Application of the European Convention on International Commercial Arbitration,,,,,,,,,,,
Hungary,,Agreement relating to Application of the European Convention on International Commercial Arbitration,,,,,,,,,,,
Iceland,,Agreement relating to Application of the European Convention on International Commercial Arbitration,,,,,,,,,,,
Ireland,,Agreement relating to Application of the European Convention on International Commercial Arbitration,,,,,,,,,,,
Italy,10/5/1976,Agreement relating to Application of the European Convention on International Commercial Arbitration,9/6/1976,17/12/1962,,,,,,,,,
Latvia,,Agreement relating to Application of the European Convention on International Commercial Arbitration,,,,,,,,,,,
Liechtenstein,,Agreement relating to Application of the European Convention on International Commercial Arbitration,,,,,,,,,,,
Lithuania,,Agreement relating to Application of the European Convention on International Commercial Arbitration,,,,,,,,,,,
Luxembourg,1/4/1982,Agreement relating to Application of the European Convention on International Commercial Arbitration,24/6/1982,4/2/1980,,,,,,,,,
Malta,,Agreement relating to Application of the European Convention on International Commercial Arbitration,,,,,,,,,,,
Moldova,4/2/1998,Agreement relating to Application of the European Convention on International Commercial Arbitration,5/3/1998,4/2/1998,,,,,,,,,
Monaco,,Agreement relating to Application of the European Convention on International Commercial Arbitration,,,,,,,,,,,
Montenegro,,Agreement relating to Application of the European Convention on International Commercial Arbitration,,,,,,,,,,,
Netherlands,,Agreement relating to Application of the European Convention on International Commercial Arbitration,,,,,,,,,,,
Norway,,Agreement relating to Application of the European Convention on International Commercial Arbitration,,,,,,,,,,,
Poland,,Agreement relating to Application of the European Convention on International Commercial Arbitration,,,,,,,,,,,
Portugal,,Agreement relating to Application of the European Convention on International Commercial Arbitration,,,,,,,,,,,
Romania,,Agreement relating to Application of the European Convention on International Commercial Arbitration,,,,,,,,,,,
Russia,,Agreement relating to Application of the European Convention on International Commercial Arbitration,,,,,,,,,,,
San Marino,,Agreement relating to Application of the European Convention on International Commercial Arbitration,,,,,,,,,,,
Serbia,,Agreement relating to Application of the European Convention on International Commercial Arbitration,,,,,,,,,,,
Slovakia,,Agreement relating to Application of the European Convention on International Commercial Arbitration,,,,,,,,,,,
Slovenia,,Agreement relating to Application of the European Convention on International Commercial Arbitration,,,,,,,,,,,
Spain,,Agreement relating to Application of the European Convention on International Commercial Arbitration,,,,,,,,,,,
Sweden,,Agreement relating to Application of the European Convention on International Commercial Arbitration,,,,,,,,,,,
Switzerland,,Agreement relating to Application of the European Convention on International Commercial Arbitration,,,,,,,,,,,
Macedonia,,Agreement relating to Application of the European Convention on International Commercial Arbitration,,,,,,,,,,,
Turkey,,Agreement relating to Application of the European Convention on International Commercial Arbitration,,,,,,,,,,,
Ukraine,,Agreement relating to Application of the European Convention on International Commercial Arbitration,,,,,,,,,,,
United Kingdom,,Agreement relating to Application of the European Convention on International Commercial Arbitration,,,,,,,,,,,
Albania,,Convention on the Reduction of Cases of Multiple Nationality and on Military Obligations in Cases of Multiple Nationality,,,,,,,,,,,
Andorra,,Convention on the Reduction of Cases of Multiple Nationality and on Military Obligations in Cases of Multiple Nationality,,,,,,,,,,,
Armenia,,Convention on the Reduction of Cases of Multiple Nationality and on Military Obligations in Cases of Multiple Nationality,,,,,,,,,,,
Austria,31/7/1975,Convention on the Reduction of Cases of Multiple Nationality and on Military Obligations in Cases of Multiple Nationality,1/9/1975,6/5/1963,,,X,,,,,X,
Azerbaijan,,Convention on the Reduction of Cases of Multiple Nationality and on Military Obligations in Cases of Multiple Nationality,,,,,,,,,,,
Belgium,18/6/1991,Convention on the Reduction of Cases of Multiple Nationality and on Military Obligations in Cases of Multiple Nationality,19/7/1991,5/6/1963,57,,,,,,,,
Bosnia and Herzegovina,,Convention on the Reduction of Cases of Multiple Nationality and on Military Obligations in Cases of Multiple Nationality,,,,,,,,,,,
Bulgaria,,Convention on the Reduction of Cases of Multiple Nationality and on Military Obligations in Cases of Multiple Nationality,,,,,,,,,,,
Croatia,,Convention on the Reduction of Cases of Multiple Nationality and on Military Obligations in Cases of Multiple Nationality,,,,,,,,,,,
Cyprus,,Convention on the Reduction of Cases of Multiple Nationality and on Military Obligations in Cases of Multiple Nationality,,,,,,,,,,,
Czech Republic,,Convention on the Reduction of Cases of Multiple Nationality and on Military Obligations in Cases of Multiple Nationality,,,,,,,,,,,
Denmark,16/11/1972,Convention on the Reduction of Cases of Multiple Nationality and on Military Obligations in Cases of Multiple Nationality,17/12/1972,16/11/1972,,,,,,,,,
Estonia,,Convention on the Reduction of Cases of Multiple Nationality and on Military Obligations in Cases of Multiple Nationality,,,,,,,,,,,
Finland,,Convention on the Reduction of Cases of Multiple Nationality and on Military Obligations in Cases of Multiple Nationality,,,,,,,,,,,
France,26/1/1965,Convention on the Reduction of Cases of Multiple Nationality and on Military Obligations in Cases of Multiple Nationality,28/3/1968,6/5/1963,57,,,,,,,X,
Georgia,,Convention on the Reduction of Cases of Multiple Nationality and on Military Obligations in Cases of Multiple Nationality,,,,,,,,,,,
Germany,17/11/1969,Convention on the Reduction of Cases of Multiple Nationality and on Military Obligations in Cases of Multiple Nationality,18/12/1969,6/5/1963,,,X,21/12/2001,,,22/12/2002,X,
Greece,,Convention on the Reduction of Cases of Multiple Nationality and on Military Obligations in Cases of Multiple Nationality,,,,,,,,,,,
Hungary,,Convention on the Reduction of Cases of Multiple Nationality and on Military Obligations in Cases of Multiple Nationality,,,,,,,,,,,
Iceland,,Convention on the Reduction of Cases of Multiple Nationality and on Military Obligations in Cases of Multiple Nationality,,,,,,,,,,,
Ireland,16/3/1973,Convention on the Reduction of Cases of Multiple Nationality and on Military Obligations in Cases of Multiple Nationality,17/4/1973,16/3/1973,,,X,,,,,,
Italy,27/2/1968,Convention on the Reduction of Cases of Multiple Nationality and on Military Obligations in Cases of Multiple Nationality,28/3/1968,6/5/1963,57,,X,,,,,X,
Latvia,,Convention on the Reduction of Cases of Multiple Nationality and on Military Obligations in Cases of Multiple Nationality,,,,,,,,,,,
Liechtenstein,,Convention on the Reduction of Cases of Multiple Nationality and on Military Obligations in Cases of Multiple Nationality,,,,,,,,,,,
Lithuania,,Convention on the Reduction of Cases of Multiple Nationality and on Military Obligations in Cases of Multiple Nationality,,,,,,,,,,,
Luxembourg,11/10/1971,Convention on the Reduction of Cases of Multiple Nationality and on Military Obligations in Cases of Multiple Nationality,12/11/1971,1/5/1969,57,,,,,,,,
Malta,,Convention on the Reduction of Cases of Multiple Nationality and on Military Obligations in Cases of Multiple Nationality,,,,,,,,,,,
Moldova,,Convention on the Reduction of Cases of Multiple Nationality and on Military Obligations in Cases of Multiple Nationality,,3/11/1998,,,,,,,,,
Monaco,,Convention on the Reduction of Cases of Multiple Nationality and on Military Obligations in Cases of Multiple Nationality,,,,,,,,,,,
Montenegro,,Convention on the Reduction of Cases of Multiple Nationality and on Military Obligations in Cases of Multiple Nationality,,,,,,,,,,,
Netherlands,9/5/1985,Convention on the Reduction of Cases of Multiple Nationality and on Military Obligations in Cases of Multiple Nationality,10/6/1985,6/5/1963,,X,,,,,,,
Norway,26/11/1969,Convention on the Reduction of Cases of Multiple Nationality and on Military Obligations in Cases of Multiple Nationality,27/12/1969,6/5/1963,,,,,,,,,
Poland,,Convention on the Reduction of Cases of Multiple Nationality and on Military Obligations in Cases of Multiple Nationality,,,,,,,,,,,
Portugal,,Convention on the Reduction of Cases of Multiple Nationality and on Military Obligations in Cases of Multiple Nationality,,23/2/1979,,,,,,,,,
Romania,,Convention on the Reduction of Cases of Multiple Nationality and on Military Obligations in Cases of Multiple Nationality,,,,,,,,,,,
Russia,,Convention on the Reduction of Cases of Multiple Nationality and on Military Obligations in Cases of Multiple Nationality,,,,,,,,,,,
San Marino,,Convention on the Reduction of Cases of Multiple Nationality and on Military Obligations in Cases of Multiple Nationality,,,,,,,,,,,
Serbia,,Convention on the Reduction of Cases of Multiple Nationality and on Military Obligations in Cases of Multiple Nationality,,,,,,,,,,,
Slovakia,,Convention on the Reduction of Cases of Multiple Nationality and on Military Obligations in Cases of Multiple Nationality,,,,,,,,,,,
Slovenia,,Convention on the Reduction of Cases of Multiple Nationality and on Military Obligations in Cases of Multiple Nationality,,,,,,,,,,,
Spain,16/7/1987,Convention on the Reduction of Cases of Multiple Nationality and on Military Obligations in Cases of Multiple Nationality,17/8/1987,8/11/1985,,,X,,,,,,
Sweden,29/5/2002,Convention on the Reduction of Cases of Multiple Nationality and on Military Obligations in Cases of Multiple Nationality,30/6/2002,26/6/1968,46,,X,,,,,,
Switzerland,,Convention on the Reduction of Cases of Multiple Nationality and on Military Obligations in Cases of Multiple Nationality,,,,,,,,,,,
Macedonia,,Convention on the Reduction of Cases of Multiple Nationality and on Military Obligations in Cases of Multiple Nationality,,,,,,,,,,,
Turkey,,Convention on the Reduction of Cases of Multiple Nationality and on Military Obligations in Cases of Multiple Nationality,,,,,,,,,,,
Ukraine,,Convention on the Reduction of Cases of Multiple Nationality and on Military Obligations in Cases of Multiple Nationality,,,,,,,,,,,
United Kingdom,7/7/1971,Convention on the Reduction of Cases of Multiple Nationality and on Military Obligations in Cases of Multiple Nationality,8/8/1971,6/5/1963,,X,X,,,,,,
Albania,2/10/1996,"Protocol No. 2 to the Convention for the Protection of Human Rights and Fundamental Freedoms, conferring upon the European Court of Human Rights competence to give advisory opinions",2/10/1996,13/7/1995,49,,,,,,,,
Andorra,22/1/1996,"Protocol No. 2 to the Convention for the Protection of Human Rights and Fundamental Freedoms, conferring upon the European Court of Human Rights competence to give advisory opinions",22/1/1996,10/11/1994,49,,,,,,,,
Armenia,26/4/2002,"Protocol No. 2 to the Convention for the Protection of Human Rights and Fundamental Freedoms, conferring upon the European Court of Human Rights competence to give advisory opinions",26/4/2002,25/1/2001,49,,,,,,,,
Austria,29/5/1967,"Protocol No. 2 to the Convention for the Protection of Human Rights and Fundamental Freedoms, conferring upon the European Court of Human Rights competence to give advisory opinions",21/9/1970,6/5/1963,,,,,,,,,
Azerbaijan,15/4/2002,"Protocol No. 2 to the Convention for the Protection of Human Rights and Fundamental Freedoms, conferring upon the European Court of Human Rights competence to give advisory opinions",15/4/2002,25/1/2001,49,,,,,,,,
